################################################################################ 
# 
# Generated by: SpyGlass Physical 
# Generated on: Thu Sep 10 04:33:35 2015 
# Hostname    : localhost.localdomain 
# Version     : 5.5.0.2 
# Module Name : openMSP430 
# Command     : report physical.wirelength -total -detail -rpt WLnets.out 
# 
################################################################################ 
Steiner Estimate 
--------------------------------------------------------------------- 
                                                NET  NUM_PINS  LENGTH 
                                          fe_mab[9]         3   29.15 
                        dbg_0/dbg_uart_0/rtlc_N1614         2   29.13 
                                   dbg_0/dbg_din[1]         6   29.07 
                                       dmem_dout[7]         3   29.05 
                                         fe_mab[13]         3   29.04 
        execution_unit_0/register_file_0/rtlc_N9390        14   29.02 
        execution_unit_0/register_file_0/rtlc_N9537        13   29.02 
                          mem_backbone_0/rtlc_N2498         3   28.95 
                                    dbg_0/mem_burst         9   28.83 
                                    dbg_mem_addr[7]         4   28.81 
                                multiplier_0/op1[0]         3   28.76 
                               watchdog_0/rtlc_N433        23   28.74 
                                       inst_type[2]        19   28.70 
                                          cpu_id[0]         2   28.67 
                                         cpu_id[16]         2   28.65 
        execution_unit_0/register_file_0/rtlc_N9404        14   28.57 
                                   per_dout_wdog[3]         2   28.52 
                                     dbg_mem_din[0]         2   28.51 
                                           pc_sw[8]         4   28.51 
                         execution_unit_0/op_dst[9]         2   28.47 
                                  dbg_0/dbg_din[11]         4   28.45 
                                    per_dout_mpy[4]         2   28.39 
                         execution_unit_0/op_src[7]         5   28.33 
                                     watchdog_0/VCC        25   28.31 
                        execution_unit_0/op_src[13]         4   28.30 
                                   dbg_0/dbg_din[6]         5   28.23 
                                     dbg_mem_din[1]         2   28.16 
                                         fe_mab[10]         3   28.11 
                              frontend_0/rtlc_N4352         4   27.98 
                                         cpu_id[18]         2   27.98 
                                    dbg_mem_addr[0]         2   27.95 
                                         inst_as[1]         5   27.91 
